Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,4,0,1,3,5,5,5,6,6,4,31,5,5,5,5,20,6,5,3,3,17,6,6,12,80,6,5,6,3,20,6,6,6,6,6,30,6,6,6,18,4,4,4,12,2,2,2,3,9,3,3,3,3,12,101,4,4,4,3,2,3,20
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,4,1,0,3,6,6,6,6,6,6,36,6,6,6,6,24,7,7,7,7,28,7,7,14,102,5,3,7,7,22,5,3,4,6,4,22,7,7,7,21,7,7,7,21,4,2,4,3,13,6,6,6,1,19,118,5,3,5,5,2,3,23
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,1,0,3,5,3,6,7,6,4,31,6,7,6,4,23,7,5,5,4,21,6,4,10,85,6,5,6,4,21,3,3,3,2,2,13,6,6,6,18,7,5,6,18,2,2,2,1,7,1,2,1,1,5,82,3,2,4,3,2,1,15
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,2,1,0,4,3,1,5,7,7,1,24,6,7,7,5,25,6,7,6,5,24,5,7,12,85,7,6,6,5,24,4,5,3,4,2,18,6,7,7,20,5,5,6,16,3,5,3,4,15,4,5,6,3,18,111,5,5,5,4,5,3,27
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,4,1,0,3,5,6,3,6,7,7,34,4,5,2,5,16,7,4,5,5,21,6,3,9,80,4,3,4,4,15,6,5,4,4,4,23,5,6,6,17,3,5,4,12,4,3,3,4,14,5,5,4,3,17,98,2,3,4,3,4,5,21
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,4,4,1,1,2,1,1,4,7,7,1,21,5,7,7,1,20,7,7,7,7,28,7,7,14,83,7,7,7,7,28,7,7,7,7,7,35,7,7,7,21,7,7,7,21,1,5,5,3,14,5,7,2,2,16,135,5,1,5,1,1,1,14
0,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,4,1,0,3,4,3,7,7,7,2,30,7,7,7,7,28,7,7,6,6,26,7,7,14,98,7,5,6,5,23,7,7,5,7,7,33,7,7,7,21,7,7,5,19,5,5,5,7,22,3,7,7,5,22,140,3,3,5,5,5,5,26
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,1,1,1,5,7,4,2,20,6,6,5,6,23,7,5,6,5,23,7,7,14,80,6,5,5,4,20,4,2,4,5,4,19,7,7,7,21,7,6,6,19,4,5,2,2,13,5,4,5,3,17,109,5,5,3,4,4,5,26
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,3,5,3,3,5,5,3,24,5,6,6,6,23,7,5,4,5,21,5,7,12,80,6,6,5,4,21,5,5,5,5,5,25,5,5,5,15,5,4,4,13,3,2,2,2,9,2,2,3,3,10,93,3,2,3,3,3,3,17
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,4,3,1,0,3,7,7,7,7,7,6,41,7,6,7,7,27,7,7,7,7,28,7,7,14,110,4,4,6,6,20,5,4,4,4,4,21,5,5,5,15,5,4,6,15,2,1,2,5,10,5,4,6,4,19,100,5,4,5,5,5,5,29
